gene_family,representative,num_genomes
GF_00000,GCA_003609755.1|BBD53839.1,119
GF_00212,GCA_051013385.1|XWK87322.1,126
GF_00213,GCA_051013385.1|XWK88055.1,111
GF_00214,GCA_051013385.1|XWK88312.1,44
GF_00215,GCA_051013385.1|XWK88382.1,61
GF_00216,GCA_051013385.1|XWK89083.1,40
GF_00217,GCA_051013385.1|XWK89185.1,97
GF_00218,GCA_051013385.1|XWK89252.1,161
GF_00219,GCA_051013385.1|XWK89741.1,45
GF_00220,GCA_051013385.1|XWK89752.1,50
GF_00221,GCA_051013385.1|XWK90746.1,63
GF_00222,GCA_051013385.1|XWK90905.1,79
GF_00223,GCA_051013385.1|XWK91299.1,54
GF_00224,GCA_051013385.1|XWK91348.1,242
GF_00225,GCA_051059355.1|XWU45335.1,143
GF_00226,GCA_051059355.1|XWU47201.1,72
GF_00227,GCA_051059355.1|XWU47831.1,58
GF_00228,GCA_051059355.1|XWU48162.1,78
GF_00229,GCA_052180185.1|XZF60608.1,46
GF_00230,GCA_052180185.1|XZF61761.1,77
GF_00231,GCA_052180185.1|XZF62171.1,47
GF_00232,GCA_052180185.1|XZF62629.1,84
GF_00233,GCA_052180185.1|XZF63350.1,41
GF_00234,GCA_052180185.1|XZF63467.1,74
GF_00235,GCA_052180185.1|XZF63518.1,71
GF_00236,GCA_052180185.1|XZF66026.1,44
GF_00237,GCA_052279665.1|XZN94176.1,145
GF_00238,GCA_052279665.1|XZN97568.1,138
GF_00239,GCA_052279835.1|XZN90389.1,111
GF_00240,GCA_052279835.1|XZN92546.1,95
GF_00241,GCA_052279835.1|XZN93247.1,79
GF_00242,GCA_052692605.1|YAF93896.1,47
GF_00243,GCA_052692605.1|YAF93995.1,41
GF_00244,GCA_052692605.1|YAF94005.1,43
GF_00245,GCA_052692605.1|YAF94215.1,41
GF_00246,GCA_052692605.1|YAF94783.1,70
GF_00247,GCA_052692605.1|YAF94909.1,47
GF_00248,GCA_052692605.1|YAF94938.1,48
GF_00249,GCA_052692605.1|YAF94945.1,47
GF_00250,GCA_052692605.1|YAF95425.1,71
GF_00251,GCA_052692605.1|YAF95565.1,65
GF_00252,GCA_052692605.1|YAF95733.1,66
GF_00253,GCA_052692605.1|YAF95827.1,47
GF_00254,GCA_052692605.1|YAF95876.1,50
GF_00255,GCA_052692605.1|YAF96091.1,53
GF_00256,GCA_052692605.1|YAF96255.1,49
GF_00257,GCA_052692605.1|YAF96343.1,41
GF_00258,GCA_052692605.1|YAF96365.1,52
GF_00259,GCA_052692605.1|YAF96528.1,42
GF_00260,GCA_052692605.1|YAF96770.1,83
GF_00261,GCA_052692605.1|YAF96829.1,51
GF_00262,GCA_052692605.1|YAF96859.1,48
GF_00263,GCA_052692605.1|YAF97060.1,48
GF_00264,GCA_052692605.1|YAF97080.1,54
GF_00265,GCA_052692605.1|YAF97282.1,123
GF_00266,GCA_052692605.1|YAF97283.1,57
GF_00267,GCA_052692605.1|YAF97306.1,76
GF_00268,GCA_052692605.1|YAF97448.1,60
GF_00269,GCA_052692605.1|YAF97604.1,55
GF_00270,GCA_052692605.1|YAF97616.1,70
GF_00271,GCA_052692605.1|YAF97662.1,71
GF_00272,GCA_052692605.1|YAF97765.1,46
GF_00273,GCA_052692605.1|YAF98031.1,44
GF_00274,GCA_052692605.1|YAF98144.1,99
GF_00275,GCA_052692605.1|YAF98194.1,49
GF_00276,GCA_052692605.1|YAF98239.1,50
GF_00277,GCA_052692605.1|YAF98253.1,48
GF_00278,GCA_052692605.1|YAF98471.1,49
GF_00279,GCA_052692605.1|YAF98547.1,44
GF_00280,GCA_052692605.1|YAF98565.1,73
GF_00281,GCA_052692605.1|YAF98725.1,76
GF_00282,GCA_052692605.1|YAF98811.1,53
GF_00283,GCA_052692605.1|YAF98887.1,58
GF_00284,GCA_904830895.1|CAD5932274.1,295
GF_00285,GCF_000009705.1|WP_010994265.1,51
GF_00286,GCF_000009705.1|WP_010994417.1,54
GF_00287,GCF_000009705.1|WP_010994745.1,93
GF_00288,GCF_000009705.1|WP_010994917.1,41
GF_00289,GCF_000009705.1|WP_010997445.1,44
GF_00290,GCF_000009705.1|WP_010998234.1,55
GF_00291,GCF_000009705.1|WP_010999096.1,61
GF_00292,GCF_000009725.1|WP_010873265.1,41
GF_00293,GCF_000010065.1|WP_011244505.1,161
GF_00294,GCF_000010625.1|WP_002748168.1,46
GF_00295,GCF_000010625.1|WP_002758800.1,61
GF_00296,GCF_000011385.1|WP_011142630.1,87
GF_00297,GCF_000011385.1|WP_011144274.1,297
GF_00298,GCF_000011465.1|WP_011133183.1,147
GF_00299,GCF_000011485.1|WP_011129886.1,72
GF_00300,GCF_000011485.1|WP_011130746.1,46
GF_00301,GCF_000011485.1|WP_011131446.1,53
GF_00302,GCF_000012465.1|WP_011295471.1,89
GF_00303,GCF_000012505.1|WP_006169854.1,103
GF_00304,GCF_000012505.1|WP_011358917.1,69
GF_00305,GCF_000012505.1|WP_011359130.1,64
GF_00306,GCF_000012505.1|WP_011359417.1,71
GF_00307,GCF_000012505.1|WP_011359908.1,41
GF_00308,GCF_000012505.1|WP_011359909.1,52
GF_00309,GCF_000012505.1|WP_011360000.1,43
GF_00310,GCF_000012505.1|WP_011360095.1,44
GF_00311,GCF_000012505.1|WP_011360250.1,42
GF_00312,GCF_000012505.1|WP_011360418.1,57
GF_00313,GCF_000012505.1|WP_011360689.1,101
GF_00314,GCF_000012505.1|WP_011360882.1,52
GF_00315,GCF_000012505.1|WP_011360982.1,55
GF_00316,GCF_000012505.1|WP_011360994.1,40
GF_00317,GCF_000012505.1|WP_041425114.1,69
GF_00318,GCF_000012505.1|WP_255346182.1,153
GF_00319,GCF_000012505.1|WP_255346187.1,144
GF_00320,GCF_000012525.1|WP_011378308.1,89
GF_00321,GCF_000012625.1|WP_011363095.1,83
GF_00322,GCF_000012625.1|WP_011363174.1,45
GF_00323,GCF_000012625.1|WP_011363283.1,92
GF_00324,GCF_000012625.1|WP_011363381.1,75
GF_00325,GCF_000012625.1|WP_011365095.1,73
GF_00326,GCF_000012625.1|WP_011365131.1,162
GF_00327,GCF_000012645.1|WP_002806486.1,99
GF_00328,GCF_000012645.1|WP_011375859.1,147
GF_00329,GCF_000012645.1|WP_011376071.1,82
GF_00330,GCF_000013205.1|WP_011429276.1,209
GF_00331,GCF_000013205.1|WP_041438536.1,195
GF_00332,GCF_000014265.1|WP_011609981.1,220
GF_00333,GCF_000014265.1|WP_011610260.1,255
GF_00334,GCF_000014265.1|WP_011610342.1,40
GF_00335,GCF_000014265.1|WP_011612039.1,225
GF_00336,GCF_000014265.1|WP_011612412.1,93
GF_00337,GCF_000014265.1|WP_011613666.1,291
GF_00338,GCF_000014585.1|WP_011618455.1,62
GF_00339,GCF_000014585.1|WP_011618689.1,40
GF_00340,GCF_000014585.1|WP_011618696.1,42
GF_00341,GCF_000014585.1|WP_011619783.1,62
GF_00342,GCF_000014585.1|WP_011619980.1,44
GF_00343,GCF_000014585.1|WP_011620231.1,75
GF_00344,GCF_000015665.1|WP_011819579.1,104
GF_00345,GCF_000015665.1|WP_011820217.1,40
GF_00346,GCF_000015685.1|WP_011822827.1,119
GF_00347,GCF_000015705.1|WP_011824863.1,71
GF_00348,GCF_000015705.1|WP_011825182.1,44
GF_00349,GCF_000015705.1|WP_011827062.1,62
GF_00350,GCF_000015965.1|WP_011862803.1,43
GF_00351,GCF_000015965.1|WP_011863404.1,57
GF_00352,GCF_000017845.1|WP_009543918.1,64
GF_00353,GCF_000017845.1|WP_009544615.1,52
GF_00354,GCF_000017845.1|WP_009544842.1,52
GF_00355,GCF_000017845.1|WP_009545932.1,40
GF_00356,GCF_000017845.1|WP_009546126.1,48
GF_00357,GCF_000017845.1|WP_009546453.1,52
GF_00358,GCF_000017845.1|WP_009547657.1,48
GF_00359,GCF_000017845.1|WP_024750138.1,80
GF_00360,GCF_000017845.1|WP_041231990.1,448
GF_00361,GCF_000018065.1|WP_002807728.1,147
GF_00362,GCF_000018065.1|WP_011131951.1,52
GF_00363,GCF_000018105.1|WP_010468699.1,44
GF_00364,GCF_000018105.1|WP_012165584.1,66
GF_00365,GCF_000018105.1|WP_012165917.1,238
GF_00366,GCF_000019485.1|WP_012306615.1,82
GF_00367,GCF_000019485.1|WP_012306720.1,63
GF_00368,GCF_000019485.1|WP_232308876.1,258
GF_00369,GCF_000020025.1|WP_012406970.1,55
GF_00370,GCF_000020025.1|WP_012410028.1,59
GF_00371,GCF_000020025.1|WP_012411214.1,68
GF_00372,GCF_000020025.1|WP_012412008.1,40
GF_00373,GCF_000020025.1|WP_041565524.1,50
GF_00374,GCF_000020025.1|WP_372726526.1,87
GF_00375,GCF_000021805.1|WP_012593604.1,77
GF_00376,GCF_000021805.1|WP_012593685.1,126
GF_00377,GCF_000021805.1|WP_012594559.1,125
GF_00378,GCF_000021805.1|WP_012595059.1,41
GF_00379,GCF_000021805.1|WP_012595137.1,61
GF_00380,GCF_000021805.1|WP_012595295.1,55
GF_00381,GCF_000021805.1|WP_012595371.1,48
GF_00382,GCF_000021805.1|WP_012596937.1,159
GF_00383,GCF_000021805.1|WP_012597128.1,44
GF_00384,GCF_000021805.1|WP_012597132.1,57
GF_00385,GCF_000021825.1|WP_012598497.1,49
GF_00386,GCF_000021825.1|WP_015954870.1,83
GF_00387,GCF_000021825.1|WP_015955139.1,102
GF_00388,GCF_000021825.1|WP_015955292.1,102
GF_00389,GCF_000021825.1|WP_015955648.1,60
GF_00390,GCF_000021825.1|WP_015955931.1,164
GF_00391,GCF_000021825.1|WP_015956087.1,54
GF_00392,GCF_000021825.1|WP_015956359.1,217
GF_00393,GCF_000025125.1|WP_041487717.1,53
GF_00394,GCF_000147335.1|WP_013320423.1,51
GF_00395,GCF_000147335.1|WP_013320705.1,88
GF_00396,GCF_000147335.1|WP_013321113.1,92
GF_00397,GCF_000147335.1|WP_013321469.1,120
GF_00398,GCF_000147335.1|WP_013322150.1,45
GF_00399,GCF_000147335.1|WP_013322164.1,52
GF_00400,GCF_000147335.1|WP_013322892.1,63
GF_00401,GCF_000147335.1|WP_013322905.1,43
GF_00402,GCF_000147335.1|WP_013323938.1,241
GF_00403,GCF_000147335.1|WP_013324061.1,47
GF_00404,GCF_000147335.1|WP_013324170.1,57
GF_00405,GCF_000147335.1|WP_013324620.1,58
GF_00406,GCF_000147335.1|WP_013324980.1,51
GF_00407,GCF_000147335.1|WP_013325213.1,251
GF_00408,GCF_000147335.1|WP_083786811.1,290
GF_00409,GCF_000161795.2|WP_006851435.1,50
GF_00410,GCF_000161795.2|WP_025362053.1,95
GF_00411,GCF_000179235.2|WP_010304189.1,142
GF_00412,GCF_000179235.2|WP_010306227.1,71
GF_00413,GCF_000179235.2|WP_010307723.1,41
GF_00414,GCF_000179235.2|WP_010307889.1,93
GF_00415,GCF_000179235.2|WP_010308129.1,44
GF_00416,GCF_000179235.2|WP_010308132.1,51
GF_00417,GCF_000179235.2|WP_010308496.1,56
GF_00418,GCF_000179235.2|WP_010310621.1,145
GF_00419,GCF_000179235.2|WP_010310941.1,147
GF_00420,GCF_000179235.2|WP_010311652.1,77
GF_00421,GCF_000179235.2|WP_010312009.1,49
GF_00422,GCF_000179235.2|WP_246833802.1,70
GF_00423,GCF_000195975.1|WP_011127120.1,54
GF_00424,GCF_000195975.1|WP_011128711.1,56
GF_00425,GCF_000195975.1|WP_011129098.1,42
GF_00426,GCF_000196515.1|WP_013189761.1,71
GF_00427,GCF_000196515.1|WP_013190184.1,51
GF_00428,GCF_000196515.1|WP_013190399.1,63
GF_00429,GCF_000196515.1|WP_013190706.1,72
GF_00430,GCF_000196515.1|WP_013190724.1,42
GF_00431,GCF_000196515.1|WP_013191366.1,206
GF_00432,GCF_000196515.1|WP_013191493.1,87
GF_00433,GCF_000196515.1|WP_013191751.1,40
GF_00434,GCF_000196515.1|WP_013192160.1,47
GF_00435,GCF_000196515.1|WP_013192281.1,145
GF_00436,GCF_000196515.1|WP_013192332.1,57
GF_00437,GCF_000196515.1|WP_013192381.1,82
GF_00438,GCF_000196515.1|WP_013192398.1,79
GF_00439,GCF_000204075.1|WP_010995449.1,88
GF_00440,GCF_000204075.1|WP_011317093.1,47
GF_00441,GCF_000204075.1|WP_011317486.1,61
GF_00442,GCF_000204075.1|WP_011318121.1,47
GF_00443,GCF_000204075.1|WP_011318538.1,71
GF_00444,GCF_000204075.1|WP_011318762.1,70
GF_00445,GCF_000204075.1|WP_011318793.1,41
GF_00446,GCF_000204075.1|WP_011319213.1,50
GF_00447,GCF_000204075.1|WP_011320054.1,43
GF_00448,GCF_000204075.1|WP_104009913.1,63
GF_00449,GCF_000284455.1|WP_010873785.1,56
GF_00450,GCF_000284455.1|WP_041426059.1,40
GF_00451,GCF_000312705.1|WP_015077992.1,146
GF_00452,GCF_000312705.1|WP_015078145.1,79
GF_00453,GCF_000312705.1|WP_015078582.1,50
GF_00454,GCF_000312705.1|WP_015078639.1,44
GF_00455,GCF_000312705.1|WP_015079211.1,69
GF_00456,GCF_000312705.1|WP_015083029.1,71
GF_00457,GCF_000312705.1|WP_015083579.1,113
GF_00458,GCF_000312705.1|WP_371260351.1,79
GF_00459,GCF_000316515.1|WP_015107730.1,92
GF_00460,GCF_000316515.1|WP_015108077.1,77
GF_00461,GCF_000316515.1|WP_015108086.1,68
GF_00462,GCF_000316515.1|WP_015108361.1,77
GF_00463,GCF_000316515.1|WP_015108533.1,79
GF_00464,GCF_000316515.1|WP_015109212.1,73
GF_00465,GCF_000316515.1|WP_015109416.1,120
GF_00466,GCF_000316515.1|WP_015109676.1,93
GF_00467,GCF_000316515.1|WP_015109700.1,147
GF_00468,GCF_000316515.1|WP_015109864.1,91
GF_00469,GCF_000316515.1|WP_015110359.1,44
GF_00470,GCF_000316515.1|WP_043327500.1,93
GF_00471,GCF_000316575.1|WP_015126631.1,73
GF_00472,GCF_000316575.1|WP_015126807.1,65
GF_00473,GCF_000316575.1|WP_015126908.1,51
GF_00474,GCF_000316575.1|WP_015126945.1,55
GF_00475,GCF_000316575.1|WP_015127065.1,84
GF_00476,GCF_000316575.1|WP_015127112.1,80
GF_00477,GCF_000316575.1|WP_015127518.1,51
GF_00478,GCF_000316575.1|WP_015127804.1,45
GF_00479,GCF_000316575.1|WP_015127807.1,71
GF_00480,GCF_000316575.1|WP_015127853.1,54
GF_00481,GCF_000316575.1|WP_015128195.1,46
GF_00482,GCF_000316575.1|WP_015128245.1,46
GF_00483,GCF_000316575.1|WP_015128541.1,47
GF_00484,GCF_000316575.1|WP_015128725.1,67
GF_00485,GCF_000316575.1|WP_015128791.1,79
GF_00486,GCF_000316575.1|WP_015128828.1,42
GF_00487,GCF_000316575.1|WP_015129089.1,54
GF_00488,GCF_000316575.1|WP_015129130.1,48
GF_00489,GCF_000316575.1|WP_015129368.1,50
GF_00490,GCF_000316575.1|WP_015129666.1,56
GF_00491,GCF_000316575.1|WP_015129723.1,82
GF_00492,GCF_000316575.1|WP_015129749.1,89
GF_00493,GCF_000316575.1|WP_015129805.1,41
GF_00494,GCF_000316575.1|WP_015130072.1,77
GF_00495,GCF_000316575.1|WP_015130515.1,44
GF_00496,GCF_000316575.1|WP_015130705.1,48
GF_00497,GCF_000316575.1|WP_015130958.1,54
GF_00498,GCF_000316575.1|WP_015131229.1,56
GF_00499,GCF_000316575.1|WP_015131277.1,44
GF_00500,GCF_000316575.1|WP_015131354.1,40
GF_00501,GCF_000316575.1|WP_015131554.1,66
GF_00502,GCF_000316575.1|WP_015131840.1,47
GF_00503,GCF_000316575.1|WP_015132075.1,68
GF_00504,GCF_000316575.1|WP_015132184.1,48
GF_00505,GCF_000316575.1|WP_015132242.1,48
GF_00506,GCF_000316575.1|WP_042342105.1,48
GF_00507,GCF_000316605.1|WP_015134439.1,56
GF_00508,GCF_000316605.1|WP_015134563.1,206
GF_00509,GCF_000316605.1|WP_015136086.1,54
GF_00510,GCF_000316625.1|WP_015111024.1,42
GF_00511,GCF_000316625.1|WP_015111247.1,40
GF_00512,GCF_000316625.1|WP_015111552.1,50
GF_00513,GCF_000316625.1|WP_015111664.1,56
GF_00514,GCF_000316625.1|WP_015111746.1,65
GF_00515,GCF_000316625.1|WP_015111870.1,59
GF_00516,GCF_000316625.1|WP_015111927.1,43
GF_00517,GCF_000316625.1|WP_015112444.1,82
GF_00518,GCF_000316625.1|WP_015112487.1,86
GF_00519,GCF_000316625.1|WP_015113436.1,64
GF_00520,GCF_000316625.1|WP_015113566.1,89
GF_00521,GCF_000316625.1|WP_015113627.1,41
GF_00522,GCF_000316625.1|WP_015113758.1,49
GF_00523,GCF_000316625.1|WP_015113902.1,79
GF_00524,GCF_000316625.1|WP_015113943.1,58
